playerid,fname,lname,position,height,weight,BMI
1630173,Precious,Achiuwa,F,203.2,102.05828325,24.717289909189194
203500,Steven,Adams,C,210.82,120.20197805000001,27.0450629415557
1628389,Bam,Adebayo,C,205.74,115.66605435000001,27.325520927905142
1630534,Ochai,Agbaji,G,195.57999999999998,97.52235955,25.495017645879454
1630583,Santi,Aldama,F,213.36,97.52235955,21.422896771884815
1629638,Nickeil,Alexander-Walker,G,195.57999999999998,92.98643585,24.309202871652506
1628960,Grayson,Allen,G,193.04,89.81128926000001,24.10106938513739
1628386,Jarrett,Allen,C,205.74,110.22294591,26.039614060709606
1630631,Jose,Alvarado,G,182.88,81.19303423000001,24.276515192015726
203937,Kyle,Anderson,F,205.74,104.32624510000001,24.64654828791444
203507,Giannis,Antetokounmpo,F,213.36,110.22294591,24.21285542124656
1628961,Kostas,Antetokounmpo,F,208.28,90.718474,20.91224210705411
203648,Thanasis,Antetokounmpo,F,200.66,99.33672903,24.671084432138418
1630175,Cole,Anthony,G,190.5,83.91458845000001,23.12317728591013
1628384,O.G.,Anunoby,F,200.66,105.23342984,26.135578028566723
1627853,Ryan,Arcidiacono,G,190.5,88.45051215000001,24.373078760824193
201571,D.J.,Augustin,G,180.34,83.00740371,25.52305754294111
1630166,Deni,Avdija,F,205.74,95.2543977,22.50337017592188
1629028,Deandre,Ayton,C,213.36,113.3980925,24.910345083586993
1628962,Udoka,Azubuike,C,210.82,122.4699399,27.555347148000145
1630641,Ibou,Badji,C,215.9,108.8621688,23.354560430920166
1628963,Marvin,Bagley III,F,208.28,106.59420695,24.57188447578858
1631116,Patrick,Baldwin,F,205.74,99.79032140000001,23.574959231918164
1630163,LaMelo,Ball,G,200.66,81.6466266,20.277603642853496
1628964,Mo,Bamba,C,213.36,104.77983747,23.01715885723438
1631094,Paolo,Banchero,F,208.28,113.3980925,26.140302633817637
1630217,Desmond,Bane,G,195.57999999999998,97.52235955,25.495017645879454
1630625,Dalano,Banton,F,200.66,92.53284348000001,22.981284128567296
1631230,Dominick,Barlow,F,205.74,97.52235955,23.039164703920022
203084,Harrison,Barnes,F,203.2,102.05828325,24.717289909189194
1630567,Scottie,Barnes,F,203.2,102.05828325,24.717289909189194
1629628,RJ,Barrett,F,198.12,97.06876718000001,24.72992932984551
203115,Will,Barton,G,195.57999999999998,82.10021897,21.46324741350782
1629646,Charles,Bassey,C,205.74,104.32624510000001,24.64654828791444
1628966,Keita,Bates-Diop,F,203.2,103.87265273,25.156708396463667
201587,Nicolas,Batum,G,203.2,104.32624510000001,25.266563018282287
1629647,Darius,Bazley,F,205.74,97.97595192,23.146323609519648
203078,Bradley,Beal,G,193.04,93.89362059,25.196572539007267
1627736,Malik,Beasley,G,193.04,84.82177319,22.762121085963088
1630699,MarJon,Beauchamp,F,200.66,90.26488163,22.41801736071025
202722,Davis,Bertans,F,208.28,102.05828325,23.526272370435873
201976,Patrick,Beverley,G,187.96,81.6466266,23.110395240147675
1630180,Saddiq,Bey,F,200.66,97.52235955,24.220471017852784
203920,Khem,Birch,C,203.2,105.68702221000001,25.596126883738144
1629048,Goga,Bitadze,C,210.82,113.3980925,25.514210322222358
202687,Bismack,Biyombo,C,203.2,115.66605435000001,28.012928563747753
1631205,Buddy,Boeheim,F,198.12,92.98643585,23.68988557298285
203992,Bogdan,Bogdanovic,G,195.57999999999998,102.05828325,26.680832420106405
202711,Bojan,Bogdanovic,F,200.66,102.51187562000001,25.45965790713828
1629626,Bol,Bol,C,218.44000000000003,99.79032140000001,20.913373109872236
1630195,Leandro,Bolmaro,F,198.12,90.718474,23.112083485836923
1626164,Devin,Booker,G,195.57999999999998,93.44002822,24.4277843490752
1630527,Brandon,Boston Jr.,G,198.12,85.27536556,21.725358476686708
1628449,Chris,Boucher,F,205.74,90.718474,21.4317811199256
1630547,James,Bouknight,G,193.04,86.1825503,23.127288803919715
1631123,Jamaree,Bouyea,G,187.96,81.6466266,23.110395240147675
1628396,Tony,Bradley,C,210.82,112.49090776,25.310096639644577
1631103,Malaki,Branham,F,193.04,81.6466266,21.910063077397627
1629714,Jarrell,Brantley,F,195.57999999999998,113.3980925,29.645369355673786
1631128,Christian,Braun,G,198.12,99.79032140000001,25.42329183442062
1628969,Mikal,Bridges,G,198.12,94.80080533,24.152127242699585
1629052,Oshae,Brissett,F,200.66,95.2543977,23.657204249995743
1627763,Malcolm,Brogdon,G,193.04,103.87265273,27.874469137355867
1628415,Dillon,Brooks,G,198.12,102.05828325,26.00109392156654
1628971,Bruce,Brown,G,193.04,91.62565874,24.587959675746223
1627759,Jaylen,Brown,G,198.12,101.15109851000001,25.769973086708173
1631112,Kendall,Brown,G,200.66,92.98643585,23.093937482138703
1629650,Moses,Brown,C,218.44000000000003,111.13013065000001,23.289892781448625
1628425,Sterling,Brown,G,195.57999999999998,99.33672903,25.969343555570234
1630535,Greg,Brown III,F,200.66,93.44002822,23.20659083571011
1628972,Troy,Brown Jr.,G,200.66,97.52235955,24.220471017852784
1628973,Jalen,Brunson,G,187.96,86.1825503,24.394306086822546
1628418,Thomas,Bryant,C,208.28,112.49090776,25.931180212747094
203493,Reggie,Bullock,G,198.12,92.98643585,23.68988557298285
202692,Alec,Burks,G,198.12,97.06876718000001,24.72992932984551
1629126,Deonte,Burton,G,193.04,108.8621688,29.213417436530168
1630215,Jared,Butler,G,190.5,87.54332741,24.123098465841377
202710,Jimmy,Butler,F,200.66,104.32624510000001,25.91027132142391
1631219,John,Butler Jr.,F,213.36,86.1825503,18.931862263526114
1631288,Jamal,Cain,F,198.12,86.63614267,22.07203972897426
203484,Kentavious,Caldwell-Pope,G,195.57999999999998,92.53284348000001,24.19062139422981
1630267,Facundo,Campazzo,G,177.8,88.45051215000001,27.97929959788491
1628427,Vlatko,Cancar,F,203.2,107.04779932000001,25.925690749194
203991,Clint,Capela,C,208.28,116.11964672,26.76766989702926
1630176,Vernon,Carey Jr.,C,208.28,122.4699399,28.231526844523046
1628975,Jevon,Carter,G,185.42,90.718474,26.38654830696789
1628976,Wendell,Carter Jr.,C,208.28,122.4699399,28.231526844523046
203487,Michael,Carter-Williams,G,195.57999999999998,86.1825503,22.530480710312077
1627936,Alex,Caruso,G,195.57999999999998,84.36818082,22.056154800621297
1626161,Willie,Cauley-Stein,C,213.36,108.8621688,23.913931280243514
1630577,Julian,Champagnie,F,200.66,98.42954429000001,24.4457777249956
1630551,Justin,Champagnie,G,198.12,93.44002822,23.805445990412032
1631113,Kennedy,Chandler,G,180.34,77.1107029,23.70994416557371
1631108,Max,Christie,G,195.57999999999998,86.1825503,22.530480710312077
1630528,Josh,Christopher,G,193.04,97.52235955,26.17035312022494
1629634,Brandon,Clarke,F,203.2,97.52235955,23.618743691003008
203903,Jordan,Clarkson,G,195.57999999999998,87.99691978,23.004806620002856
1629651,Nic,Claxton,C,210.82,97.52235955,21.94222087711123
1629599,Amir,Coffey,G,200.66,95.2543977,23.657204249995743
1628381,John,Collins,F,205.74,102.51187562000001,24.217912665515932
1628380,Zach,Collins,F,210.82,113.3980925,25.514210322222358
1628435,Chance,Comanche,C,208.28,95.2543977,21.957854212406815
201144,Mike,Conley,G,185.42,79.37866475,23.088229768596904
1626192,Pat,Connaughton,G,195.57999999999998,94.80080533,24.783528781343286
1641645,Xavier,Cooks,F,203.2,83.00740371,20.10339579280721
203496,Robert,Covington,F,200.66,94.80080533,23.544550896424333
1628470,Torrey,Craig,F,200.66,100.24391377,24.896391139281235
203109,Jae,Crowder,F,198.12,106.59420695,27.156698095858385
1629633,Jarrett,Culver,G,198.12,88.45051215000001,22.534281398691004
1630595,Cade,Cunningham,G,200.66,99.79032140000001,24.783737785709828
203552,Seth,Curry,G,185.42,83.91458845000001,24.4075571839453
201939,Stephen,Curry,G,187.96,83.91458845000001,23.75235066348511
1630700,Dyson,Daniels,G,200.66,90.26488163,22.41801736071025
203076,Anthony,Davis,F,208.28,114.75886961,26.45398626542345
1631098,Johnny,Davis,G,193.04,88.45051215000001,23.735901667180762
1629056,Terence,Davis,G,193.04,91.17206637000001,24.466237103094016
1631120,JD,Davison,G,185.42,88.45051215000001,25.726884599293694
1630620,Darius,Days,F,200.66,111.13013065000001,27.600071624995035
201942,DeMar,DeRozan,G,198.12,99.79032140000001,25.42329183442062
203473,Dewayne,Dedmon,C,208.28,111.13013065000001,25.617496581141285
203521,Matthew,Dellavedova,G,190.5,90.718474,24.99802949828122
1628978,Donte,DiVincenzo,G,193.04,92.07925111,24.709682248398433
1631217,Moussa,Diabate,F,208.28,95.2543977,21.957854212406815
1629603,Mamadi,Diakite,F,205.74,103.41906036,24.432230476715183
1628977,Hamidou,Diallo,G,195.57999999999998,91.62565874,23.95345843938442
203476,Gorgui,Dieng,C,208.28,112.49090776,25.931180212747094
1631172,Ousmane,Dieng,F,205.74,83.91458845000001,19.824397535931183
203915,Spencer,Dinwiddie,G,195.57999999999998,97.52235955,25.495017645879454
1629029,Luka,Doncic,F,200.66,104.32624510000001,25.91027132142391
1628416,Tyler,Dorsey,G,193.04,81.6466266,21.910063077397627
1629652,Luguentz,Dort,G,193.04,99.79032140000001,26.77896598348599
1630245,Ayo,Dosunmu,G,195.57999999999998,90.718474,23.716295484539028
1629653,Devon,Dotson,G,185.42,83.91458845000001,24.4075571839453
1630288,Jeff,Dowtin Jr.,G,190.5,80.28584949,22.12325610597888
1628408,PJ,Dozier,G,198.12,92.98643585,23.68988557298285
201609,Goran,Dragic,G,193.04,86.1825503,23.127288803919715
203083,Andre,Drummond,C,210.82,126.55227123,28.473858719600152
1630537,Chris,Duarte,G,195.57999999999998,86.1825503,22.530480710312077
1630561,David,Duke Jr.,G,193.04,92.53284348000001,24.831404821050644
1627739,Kris,Dunn,G,190.5,92.98643585,25.62298023573825
201142,Kevin,Durant,F,208.28,108.8621688,25.09469052846493
1631105,Jalen,Duren,C,210.82,113.3980925,25.514210322222358
1631106,Tari,Eason,F,203.2,97.52235955,23.618743691003008
1630162,Anthony,Edwards,G,193.04,102.05828325,27.38757884674703
1630556,Kessler,Edwards,F,200.66,92.07925111,22.868630774995886
1631165,Keon,Ellis,G,190.5,79.37866475,21.873275810996066
203954,Joel,Embiid,C,213.36,127.00586360000001,27.899586493617434
1629234,Drew,Eubanks,F,208.28,111.13013065000001,25.617496581141285
202324,Derrick,Favors,F,205.74,120.20197805000001,28.397109983901423
1628981,Bruno,Fernando,F,208.28,108.8621688,25.09469052846493
1627827,Dorian,Finney-Smith,F,200.66,99.79032140000001,24.783737785709828
1630201,Malachi,Flynn,G,185.42,79.37866475,23.088229768596904
1631323,Simone,Fontecchio,F,200.66,94.80080533,23.544550896424333
1627854,Bryn,Forbes,G,187.96,92.98643585,26.320172356834853
1630235,Trent,Forrest,G,193.04,95.2543977,25.561740256963894
1630701,Michael,Foster Jr.,F,203.2,113.3980925,27.46365545465466
203095,Evan,Fournier,G,198.12,92.98643585,23.68988557298285
1628368,De'Aaron,Fox,G,190.5,83.91458845000001,23.12317728591013
1628365,Markelle,Fultz,G,193.04,94.80080533,25.440017684311687
1629117,Wenyen,Gabriel,F,205.74,92.98643585,21.96757564792374
1629655,Daniel,Gafford,F,208.28,106.14061458,24.46732326525331
1629636,Darius,Garland,G,185.42,87.08973504000001,25.331086374689175
1630586,Usman,Garuba,F,203.2,103.87265273,25.156708396463667
1630568,Luka,Garza,C,208.28,110.22294591,25.408374160070743
200752,Rudy,Gay,F,203.2,113.3980925,27.46365545465466
202331,Paul,George,F,203.2,99.79032140000001,24.1680168000961
201959,Taj,Gibson,F,205.74,105.23342984,24.860866099113696
1630581,Josh,Giddey,G,203.2,97.97595192,23.728598312821624
1628983,Shai,Gilgeous-Alexander,G,198.12,88.45051215000001,22.534281398691004
1630264,Anthony,Gill,F,203.2,104.32624510000001,25.266563018282287
