player,player_id,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Sam Hauser,1630573,F,2.5,0.38,1.12,0.04,0.08,0.08,4.75,0.12,4.04,24.0,2022
Sam Hauser,1630573,F,6.4,0.89,2.55,0.36,0.26,0.38,2.3421052631578947,0.62,10.08,25.0,2023
Sam Hauser,1630573,F,9.01,1.04,3.49,0.51,0.32,0.41,2.5365853658536586,0.83,13.96,26.0,2024
Jordan Hawkins,1641722,G,7.82,1.04,2.21,0.28,0.1,0.6,1.7333333333333334,0.38,10.85,22.0,2024
Jaxson Hayes,1629637,C,7.38,0.88,4.05,0.41,0.86,0.83,1.0602409638554218,1.27,12.75,20.0,2020
Jaxson Hayes,1629637,C,7.48,0.58,4.28,0.42,0.63,0.65,0.8923076923076922,1.05,12.74,21.0,2021
Jaxson Hayes,1629637,C,9.34,0.61,4.5,0.47,0.79,0.77,0.7922077922077921,1.26,14.94,22.0,2022
Jaxson Hayes,1629637,C,4.96,0.72,2.81,0.43,0.4,0.66,1.0909090909090908,0.83,8.66,23.0,2023
Jaxson Hayes,1629637,C,4.33,0.47,3.01,0.49,0.41,0.61,0.7704918032786885,0.9,8.1,24.0,2024
Killian Hayes,1630165,G,6.77,5.31,2.65,1.04,0.38,3.19,1.664576802507837,1.42,12.96,19.0,2021
Killian Hayes,1630165,G,6.86,4.2,3.18,1.18,0.53,1.68,2.5,1.71,14.27,20.0,2022
Killian Hayes,1630165,G,10.34,6.18,2.91,1.37,0.37,2.28,2.710526315789474,1.74,18.89,21.0,2023
Killian Hayes,1630165,G,6.88,4.88,2.83,0.86,0.48,1.21,4.033057851239669,1.34,14.72,22.0,2024
Scoot Henderson,1630703,G,14.0,5.42,3.13,0.77,0.21,3.42,1.5847953216374269,0.98,20.11,20.0,2024
Taylor Hendricks,1641707,F,7.3,0.8,4.62,0.7,0.75,0.68,1.1764705882352942,1.45,13.49,20.0,2024
Tyler Herro,1629639,G,13.51,2.2,4.07,0.62,0.16,1.58,1.3924050632911391,0.78,18.98,20.0,2020
Tyler Herro,1629639,G,15.09,3.41,4.96,0.65,0.31,1.87,1.8235294117647056,0.96,22.55,21.0,2021
Tyler Herro,1629639,G,20.71,3.98,4.98,0.67,0.12,2.64,1.5075757575757576,0.79,27.82,22.0,2022
Tyler Herro,1629639,G,20.1,4.18,5.37,0.76,0.24,2.36,1.771186440677966,1.0,28.29,23.0,2023
Tyler Herro,1629639,G,20.83,4.48,5.29,0.71,0.07,2.21,2.0271493212669687,0.78,29.17,24.0,2024
Buddy Hield,1627741,G,8.56,1.35,2.91,0.32,0.12,0.84,1.6071428571428572,0.44,12.42,24.0,2017
Buddy Hield,1627741,G,15.12,1.76,4.12,0.8,0.08,2.12,0.830188679245283,0.88,19.76,24.0,2017
Buddy Hield,1627741,G,10.56,1.48,3.28,0.46,0.11,1.23,1.2032520325203253,0.57,14.66,24.0,2017
Buddy Hield,1627741,G,13.49,1.94,3.84,1.06,0.28,1.55,1.2516129032258063,1.34,19.06,25.0,2018
Buddy Hield,1627741,G,20.67,2.5,5.02,0.71,0.4,1.78,1.4044943820224718,1.11,27.52,26.0,2019
Buddy Hield,1627741,G,19.19,2.96,4.56,0.92,0.24,2.33,1.2703862660944203,1.16,25.54,27.0,2020
Buddy Hield,1627741,G,16.56,3.62,4.7,0.89,0.42,1.83,1.978142076502732,1.31,24.36,28.0,2021
Buddy Hield,1627741,G,14.4,1.91,4.02,0.87,0.27,1.64,1.1646341463414631,1.14,19.83,29.0,2022
Buddy Hield,1627741,G,18.19,4.77,5.08,0.96,0.38,2.42,1.9710743801652888,1.34,26.96,29.0,2022
Buddy Hield,1627741,G,15.62,2.83,4.36,0.9,0.31,1.89,1.4973544973544974,1.21,22.13,29.0,2022
Buddy Hield,1627741,G,16.8,2.81,5.0,1.15,0.32,1.74,1.6149425287356325,1.47,24.34,30.0,2023
Buddy Hield,1627741,G,11.98,2.67,3.21,0.83,0.6,1.19,2.2436974789915967,1.43,18.1,31.0,2024
Buddy Hield,1627741,G,12.19,3.03,3.19,0.84,0.34,1.28,2.3671875,1.18,18.31,31.0,2024
Buddy Hield,1627741,G,12.06,2.81,3.2,0.83,0.5,1.23,2.2845528455284554,1.33,18.17,31.0,2024
Haywood Highsmith,1629312,F,1.8,0.4,1.0,0.2,0.0,0.2,2.0,0.2,3.2,22.0,2019
Haywood Highsmith,1629312,F,2.26,0.32,1.37,0.11,0.16,0.16,2.0,0.27,4.06,25.0,2022
Haywood Highsmith,1629312,F,4.37,0.8,3.48,0.67,0.31,0.83,0.9638554216867472,0.98,8.8,26.0,2023
Haywood Highsmith,1629312,F,6.14,1.06,3.18,0.8,0.45,0.52,2.0384615384615383,1.25,11.11,27.0,2024
Aaron Holiday,1628988,G,5.88,1.74,1.34,0.42,0.26,0.8,2.175,0.68,8.84,22.0,2019
Aaron Holiday,1628988,G,9.5,3.41,2.36,0.83,0.24,1.33,2.56390977443609,1.07,15.01,23.0,2020
