player,player_id,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Precious Achiuwa,1630173,F,6.65,0.96,5.56,0.82,0.74,0.79,1.2151898734177213,1.56,13.94,25.0,2025
Precious Achiuwa,1630173,F,7.5,1.18,5.53,0.88,0.56,0.56,2.1071428571428568,1.44,15.09,26.0,2026
Steven Adams,203500,C,3.88,1.14,5.64,0.38,0.48,0.93,1.225806451612903,0.86,10.59,31.0,2025
Steven Adams,203500,C,5.87,1.48,8.58,0.71,0.65,1.1,1.3454545454545452,1.36,16.19,32.0,2026
Bam Adebayo,1628389,C,18.08,4.32,9.6,1.26,0.68,2.06,2.0970873786407767,1.94,31.88,27.0,2025
Bam Adebayo,1628389,C,16.97,2.73,9.52,0.94,0.79,1.82,1.5,1.73,29.13,28.0,2026
Ochai Agbaji,1630534,G,10.42,1.53,3.78,0.91,0.47,0.84,1.8214285714285716,1.38,16.27,25.0,2025
Ochai Agbaji,1630534,G,4.33,0.76,2.36,0.42,0.27,0.36,2.111111111111111,0.69,7.78,25.0,2026
Santi Aldama,1630583,F,12.48,2.89,6.4,0.8,0.45,1.09,2.6513761467889907,1.25,21.93,24.0,2025
Santi Aldama,1630583,F,14.1,3.02,6.72,0.9,0.72,1.32,2.2878787878787876,1.62,24.14,25.0,2026
Trey Alexander,1641725,G,1.33,0.46,0.5,0.08,0.04,0.21,2.1904761904761907,0.12,2.2,22.0,2025
Trey Alexander,1641725,G,2.8,1.0,0.8,0.2,0.2,0.2,5.0,0.4,4.8,22.0,2026
Nickeil Alexander-Walker,1629638,G,9.43,2.72,3.23,0.61,0.41,1.21,2.2479338842975207,1.02,15.19,26.0,2025
Nickeil Alexander-Walker,1629638,G,20.46,3.37,3.63,1.07,0.56,2.05,1.6439024390243904,1.63,27.04,27.0,2026
Grayson Allen,1628960,G,10.62,2.14,3.03,0.84,0.3,1.17,1.8290598290598292,1.14,15.76,29.0,2025
Grayson Allen,1628960,G,16.38,3.54,2.96,1.58,0.38,1.79,1.9776536312849162,1.96,23.05,30.0,2026
Jarrett Allen,1628386,C,13.45,1.93,9.73,0.94,0.89,1.18,1.6355932203389831,1.83,25.76,27.0,2025
Jarrett Allen,1628386,C,13.53,2.17,7.87,1.0,0.7,1.57,1.3821656050955413,1.7,23.7,27.0,2026
Jose Alvarado,1630631,G,10.34,4.62,2.43,1.32,0.25,1.54,3.0,1.57,17.42,27.0,2025
Jose Alvarado,1630631,G,7.91,3.26,2.8,1.0,0.11,1.29,2.527131782945736,1.11,13.79,27.0,2026
Kyle Anderson,203937,F,5.25,2.25,3.06,0.72,0.56,0.56,4.017857142857142,1.28,11.28,31.0,2025
Kyle Anderson,203937,F,6.72,2.56,3.84,0.56,0.52,0.68,3.764705882352941,1.08,13.52,31.0,2025
Kyle Anderson,203937,F,5.85,2.38,3.38,0.66,0.54,0.61,3.901639344262295,1.2,12.2,31.0,2025
Kyle Anderson,203937,F,7.86,3.0,3.79,1.36,0.43,0.93,3.225806451612903,1.79,15.51,32.0,2026
Giannis Antetokounmpo,203507,F,30.39,6.46,11.91,0.87,1.16,3.07,2.1042345276872965,2.03,47.72,30.0,2025
Giannis Antetokounmpo,203507,F,28.78,5.48,9.52,0.93,0.78,3.33,1.6456456456456456,1.71,42.16,31.0,2026
Cole Anthony,1630175,G,9.4,2.85,3.04,0.67,0.48,1.54,1.8506493506493507,1.15,14.9,25.0,2025
Cole Anthony,1630175,G,6.45,3.55,2.55,0.62,0.31,1.86,1.9086021505376343,0.93,11.62,25.0,2026
OG Anunoby,1628384,F,18.0,2.22,4.84,1.49,0.88,1.38,1.6086956521739133,2.37,26.05,27.0,2025
OG Anunoby,1628384,F,15.87,2.13,5.42,1.65,0.71,1.97,1.0812182741116751,2.36,23.81,28.0,2026
Deni Avdija,1630166,F,16.93,3.9,7.25,0.99,0.49,2.72,1.4338235294117645,1.48,26.84,24.0,2025
Deni Avdija,1630166,F,26.08,6.9,7.08,0.88,0.6,3.9,1.7692307692307694,1.48,37.64,25.0,2026
Deandre Ayton,1629028,C,14.4,1.6,10.15,0.78,0.98,1.72,0.930232558139535,1.76,26.19,26.0,2025
