player,pos,PTS,AST,REB,STL,BLK,TOV,AST_TO,STOCKS,FIC,age,year
Kevin Porter Jr.,G,9.96,2.18,3.24,0.92,0.28,1.86,1.1720430107526882,1.2,14.72,20.0,2020
Kevin Porter Jr.,G,16.58,6.31,3.81,0.73,0.31,3.5,1.8028571428571427,1.04,24.24,21.0,2021
Kevin Porter Jr.,G,15.56,6.16,4.38,1.13,0.36,3.15,1.9555555555555557,1.49,24.44,22.0,2022
Kevin Porter Jr.,G,19.15,5.73,5.32,1.39,0.29,3.19,1.7962382445141067,1.68,28.69,23.0,2023
Michael Porter Jr.,F,9.31,0.84,4.71,0.49,0.45,0.89,0.9438202247191011,0.94,14.91,22.0,2020
Michael Porter Jr.,F,19.05,1.15,7.3,0.66,0.89,1.26,0.9126984126984127,1.55,27.79,23.0,2021
Michael Porter Jr.,F,9.89,1.89,6.56,1.11,0.22,1.33,1.4210526315789471,1.33,18.34,24.0,2022
Michael Porter Jr.,F,17.42,1.05,5.5,0.6,0.47,1.1,0.9545454545454545,1.07,23.94,25.0,2023
Michael Porter Jr.,F,16.74,1.51,6.98,0.52,0.65,1.14,1.324561403508772,1.17,25.26,26.0,2024
Bobby Portis,F,7.03,0.84,5.44,0.4,0.35,0.87,0.9655172413793103,0.75,13.19,21.0,2016
Bobby Portis,F,6.83,0.55,4.62,0.25,0.17,0.58,0.9482758620689656,0.42,11.84,22.0,2017
Bobby Portis,F,13.21,1.68,6.82,0.68,0.32,1.41,1.1914893617021276,1.0,21.3,23.0,2018
Bobby Portis,F,14.09,1.32,7.32,0.5,0.36,1.32,1.0,0.86,22.27,24.0,2019
Bobby Portis,F,14.29,1.54,8.64,0.86,0.43,1.61,0.9565217391304347,1.29,24.15,24.0,2019
Bobby Portis,F,14.2,1.44,8.06,0.7,0.4,1.48,0.9729729729729729,1.1,23.32,24.0,2019
Bobby Portis,F,10.12,1.48,5.12,0.48,0.27,1.11,1.3333333333333333,0.75,16.36,25.0,2020
Bobby Portis,F,11.42,1.08,7.06,0.79,0.39,0.85,1.2705882352941178,1.18,19.89,26.0,2021
Bobby Portis,F,14.61,1.19,9.12,0.74,0.71,1.25,0.952,1.45,25.12,27.0,2022
Bobby Portis,F,14.1,1.5,9.6,0.41,0.23,1.16,1.293103448275862,0.64,24.68,28.0,2023
Bobby Portis,F,13.78,1.27,7.4,0.83,0.41,1.11,1.144144144144144,1.24,22.58,29.0,2024
Kristaps Porziņģis,F,14.28,1.31,7.31,0.74,1.86,1.68,0.7797619047619048,2.6,23.82,20.0,2016
Kristaps Porziņģis,F,18.12,1.47,7.2,0.71,1.95,1.79,0.8212290502793296,2.66,27.66,21.0,2017
Kristaps Porziņģis,F,22.67,1.19,6.58,0.75,2.4,1.94,0.6134020618556701,3.15,31.65,22.0,2018
Kristaps Porziņģis,F,20.42,1.79,9.47,0.72,2.02,1.61,1.1118012422360248,2.74,32.81,24.0,2020
Kristaps Porziņģis,F,20.12,1.58,8.86,0.47,1.35,1.19,1.327731092436975,1.82,31.19,25.0,2021
Kristaps Porziņģis,F,19.24,2.03,7.68,0.74,1.74,1.56,1.301282051282051,2.48,29.87,26.0,2022
Kristaps Porziņģis,F,22.12,2.94,8.82,0.71,1.47,1.65,1.781818181818182,2.18,34.41,26.0,2022
Kristaps Porziņģis,F,20.2,2.33,8.06,0.73,1.65,1.59,1.4654088050314464,2.38,31.38,26.0,2022
Kristaps Porziņģis,F,23.15,2.68,8.4,0.89,1.54,2.11,1.270142180094787,2.43,34.55,27.0,2023
Kristaps Porziņģis,F,20.09,2.02,7.18,0.74,1.95,1.56,1.294871794871795,2.69,30.42,28.0,2024
Micah Potter,C,4.0,0.0,3.0,0.33,0.33,0.33,0.0,0.66,7.33,24.0,2022
Micah Potter,C,3.43,0.57,2.29,0.14,0.0,0.29,1.9655172413793103,0.14,6.14,25.0,2023
Micah Potter,C,3.31,0.38,2.69,0.25,0.38,0.31,1.2258064516129032,0.63,6.7,26.0,2024
Dwight Powell,F,1.8,0.0,0.2,0.4,0.0,0.4,0.0,0.4,2.0,23.0,2015
Dwight Powell,F,3.38,0.38,2.04,0.29,0.25,0.38,1.0,0.54,5.96,23.0,2015
Dwight Powell,F,3.1,0.31,1.72,0.31,0.21,0.38,0.8157894736842105,0.52,5.27,23.0,2015
Dwight Powell,F,5.78,0.64,3.96,0.52,0.35,0.58,1.1034482758620692,0.87,10.67,24.0,2016
Dwight Powell,F,6.7,0.64,3.97,0.79,0.51,0.44,1.4545454545454546,1.3,12.17,25.0,2017
Dwight Powell,F,8.49,1.15,5.62,0.85,0.41,0.75,1.5333333333333332,1.26,15.77,26.0,2018
Dwight Powell,F,10.58,1.45,5.34,0.57,0.65,0.87,1.6666666666666665,1.22,17.72,27.0,2019
Dwight Powell,F,9.4,1.48,5.68,0.85,0.55,0.9,1.6444444444444444,1.4,17.06,28.0,2020
Dwight Powell,F,5.9,1.09,4.03,0.62,0.52,0.69,1.5797101449275364,1.14,11.47,29.0,2021
Dwight Powell,F,8.74,1.18,4.93,0.45,0.48,0.78,1.5128205128205128,0.93,15.0,30.0,2022
Dwight Powell,F,6.66,0.91,4.13,0.63,0.34,0.86,1.058139534883721,0.97,11.81,31.0,2023
Dwight Powell,F,3.3,1.33,3.4,0.41,0.32,0.51,2.607843137254902,0.73,8.25,32.0,2024
Norman Powell,G,5.57,0.96,2.27,0.59,0.2,0.65,1.4769230769230768,0.79,8.94,23.0,2016
Norman Powell,G,8.37,1.08,2.22,0.68,0.18,0.92,1.173913043478261,0.86,11.61,24.0,2017
Norman Powell,G,5.5,1.27,1.7,0.53,0.23,0.94,1.3510638297872342,0.76,8.29,25.0,2018
Norman Powell,G,8.6,1.52,2.32,0.65,0.22,1.08,1.4074074074074074,0.87,12.23,26.0,2019
Norman Powell,G,15.96,1.75,3.65,1.15,0.4,1.48,1.1824324324324325,1.55,21.43,27.0,2020
Norman Powell,G,19.6,1.83,3.0,1.12,0.19,1.83,1.0,1.31,23.91,28.0,2021
Norman Powell,G,17.04,1.93,3.3,1.3,0.37,1.56,1.237179487179487,1.67,22.38,28.0,2021
Norman Powell,G,18.59,1.87,3.12,1.19,0.26,1.72,1.0872093023255816,1.45,23.31,28.0,2021
Norman Powell,G,18.65,2.05,3.28,1.0,0.42,1.55,1.3225806451612903,1.42,23.85,29.0,2022
Norman Powell,G,21.4,2.8,2.8,0.4,0.8,1.4,2.0,1.2,26.8,29.0,2022
Norman Powell,G,18.96,2.13,3.22,0.93,0.47,1.53,1.392156862745098,1.4,24.18,29.0,2022
Norman Powell,G,16.98,1.82,2.92,0.83,0.3,1.68,1.0833333333333335,1.13,21.17,30.0,2023
Norman Powell,G,13.89,1.08,2.57,0.57,0.29,0.87,1.2413793103448276,0.86,17.53,31.0,2024
Taurean Prince,F,5.68,0.93,2.66,0.73,0.46,1.03,0.9029126213592233,1.19,9.43,23.0,2017
Taurean Prince,F,14.12,2.61,4.74,1.04,0.51,2.33,1.1201716738197425,1.55,20.69,24.0,2018
Taurean Prince,F,13.49,2.15,3.62,0.96,0.35,1.82,1.1813186813186811,1.31,18.75,25.0,2019
Taurean Prince,F,12.08,1.81,5.95,0.89,0.39,1.98,0.9141414141414141,1.28,19.14,26.0,2020
Taurean Prince,F,8.08,0.58,2.83,0.67,0.67,0.92,0.6304347826086956,1.34,11.91,27.0,2021
Taurean Prince,F,10.07,2.38,3.72,0.69,0.52,1.24,1.9193548387096773,1.21,16.14,27.0,2021
Taurean Prince,F,9.49,1.85,3.46,0.68,0.56,1.15,1.6086956521739133,1.24,14.89,27.0,2021
Taurean Prince,F,7.28,0.99,2.52,0.68,0.33,0.77,1.2857142857142856,1.01,11.03,28.0,2022
Taurean Prince,F,9.13,1.56,2.44,0.52,0.28,1.28,1.21875,0.8,12.65,29.0,2023
Taurean Prince,F,8.94,1.53,2.95,0.74,0.45,0.94,1.6276595744680853,1.19,13.67,30.0,2024
