player,pos,PTS,AST,REB,STL,BLK,age,year
LeBron James,F,25.26,7.41,6.03,1.58,0.71,30.0,2015
LeBron James,F,25.26,6.76,7.43,1.37,0.64,31.0,2016
LeBron James,F,26.41,8.73,8.64,1.24,0.59,32.0,2017
LeBron James,F,27.45,9.11,8.65,1.41,0.87,33.0,2018
LeBron James,F,27.36,8.25,8.45,1.31,0.6,34.0,2019
LeBron James,F,25.34,10.21,7.84,1.16,0.54,35.0,2020
LeBron James,F,25.02,7.78,7.69,1.07,0.56,36.0,2021
LeBron James,F,30.27,6.23,8.2,1.3,1.05,37.0,2022
LeBron James,F,28.91,6.82,8.31,0.91,0.58,38.0,2023
LeBron James,F,25.66,8.3,7.3,1.25,0.54,39.0,2024
