player,pos,PTS,AST,REB,STL,BLK,age,year
Precious Achiuwa,F,4.98,0.48,3.41,0.33,0.46,21.0,2021
Precious Achiuwa,F,9.1,1.12,6.48,0.51,0.56,22.0,2022
Precious Achiuwa,F,9.24,0.91,5.96,0.56,0.55,23.0,2023
Precious Achiuwa,F,7.72,1.76,5.44,0.64,0.48,24.0,2024
Precious Achiuwa,F,7.59,1.08,7.16,0.61,1.14,24.0,2024
Precious Achiuwa,F,7.64,1.31,6.58,0.62,0.92,24.0,2024
Steven Adams,C,7.67,0.94,7.47,0.54,1.23,21.0,2015
Steven Adams,C,7.95,0.78,6.66,0.52,1.11,22.0,2016
Steven Adams,C,11.31,1.08,7.66,1.11,0.98,23.0,2017
Steven Adams,C,13.89,1.16,9.01,1.21,1.03,24.0,2018
Steven Adams,C,13.85,1.55,9.5,1.46,0.95,25.0,2019
Steven Adams,C,10.86,2.32,9.25,0.81,1.06,26.0,2020
Steven Adams,C,7.55,1.91,8.86,0.93,0.66,27.0,2021
Steven Adams,C,6.95,3.37,10.0,0.86,0.79,28.0,2022
Steven Adams,C,8.6,2.31,11.55,0.86,1.1,29.0,2023
Bam Adebayo,C,6.91,1.46,5.52,0.46,0.59,20.0,2018
Bam Adebayo,C,8.89,2.24,7.28,0.87,0.79,21.0,2019
Bam Adebayo,C,15.92,5.11,10.21,1.14,1.29,22.0,2020
Bam Adebayo,C,18.7,5.41,8.95,1.17,1.03,23.0,2021
Bam Adebayo,C,19.07,3.39,10.07,1.43,0.79,24.0,2022
Bam Adebayo,C,20.39,3.2,9.17,1.17,0.81,25.0,2023
Bam Adebayo,C,19.25,3.92,10.38,1.14,0.93,26.0,2024
Ochai Agbaji,G,7.92,1.14,2.05,0.27,0.25,23.0,2023
Ochai Agbaji,G,5.37,0.92,2.47,0.53,0.57,24.0,2024
Ochai Agbaji,G,6.7,1.33,3.33,0.74,0.56,24.0,2024
Ochai Agbaji,G,5.83,1.06,2.77,0.6,0.56,24.0,2024
Santi Aldama,F,4.12,0.66,2.72,0.19,0.31,21.0,2022
Santi Aldama,F,9.04,1.26,4.82,0.58,0.62,22.0,2023
Santi Aldama,F,10.72,2.26,5.77,0.7,0.89,23.0,2024
Nickeil Alexander-Walker,G,5.68,1.89,1.79,0.36,0.17,21.0,2020
Nickeil Alexander-Walker,G,11.04,2.22,3.13,1.02,0.48,22.0,2021
Nickeil Alexander-Walker,G,12.78,2.78,3.28,0.82,0.38,23.0,2022
Nickeil Alexander-Walker,G,3.53,1.13,1.53,0.33,0.27,23.0,2022
Nickeil Alexander-Walker,G,10.65,2.4,2.88,0.71,0.35,23.0,2022
Nickeil Alexander-Walker,G,6.33,2.11,1.64,0.67,0.39,24.0,2023
Nickeil Alexander-Walker,G,5.87,1.39,1.83,0.35,0.3,24.0,2023
Nickeil Alexander-Walker,G,6.15,1.83,1.71,0.54,0.36,24.0,2023
Nickeil Alexander-Walker,G,7.99,2.49,2.04,0.78,0.51,25.0,2024
Grayson Allen,G,5.55,0.66,0.61,0.16,0.16,23.0,2019
Grayson Allen,G,8.68,1.37,2.24,0.26,0.05,24.0,2020
Grayson Allen,G,10.64,2.16,3.2,0.92,0.16,25.0,2021
Grayson Allen,G,11.11,1.52,3.36,0.7,0.27,26.0,2022
Grayson Allen,G,10.42,2.26,3.29,0.86,0.19,27.0,2023
Grayson Allen,G,13.52,3.03,3.93,0.92,0.6,28.0,2024
Jarrett Allen,C,8.15,0.68,5.39,0.39,1.22,20.0,2018
Jarrett Allen,C,10.91,1.38,8.4,0.54,1.5,21.0,2019
Jarrett Allen,C,11.07,1.57,9.59,0.57,1.31,22.0,2020
Jarrett Allen,C,11.17,1.67,10.42,0.58,1.58,23.0,2021
Jarrett Allen,C,13.18,1.69,9.92,0.49,1.39,23.0,2021
Jarrett Allen,C,12.79,1.68,10.02,0.51,1.43,23.0,2021
Jarrett Allen,C,16.14,1.64,10.75,0.79,1.34,24.0,2022
Jarrett Allen,C,14.25,1.66,9.79,0.79,1.24,25.0,2023
Jarrett Allen,C,16.51,2.73,10.53,0.69,1.05,26.0,2024
Jose Alvarado,G,6.11,2.81,1.85,1.31,0.13,24.0,2022
Jose Alvarado,G,9.02,3.05,2.31,1.1,0.16,25.0,2023
Jose Alvarado,G,7.09,2.09,2.29,1.05,0.27,26.0,2024
Kyle Anderson,F,2.24,0.85,2.18,0.45,0.21,21.0,2015
Kyle Anderson,F,4.49,1.58,3.13,0.77,0.37,22.0,2016
Kyle Anderson,F,3.42,1.26,2.89,0.71,0.36,23.0,2017
Kyle Anderson,F,7.91,2.73,5.35,1.55,0.81,24.0,2018
